Subject_Number,ParticipantName,Condition,Order,Age_Group,Sex,Age,Excluded,Reason,Track_Percentage,MCDI_Total,MCDI_Nouns,MCDI_Verbs,Armadillo,Flamingo,Lizard,Hedgehog,Lemur,Rhinoceros,Eat,Cry,Sleep,Drink,Dance,Look
128,ANCAT128,uninformative,A,15-months,M,17.52,0,,95%,30,20,2,0,0,0,0,0,0,1,1,1,1,0,1
129,ANCAT129,informative,A,15-months,M,15.55,0,,48%,11,5,0,0,0,0,0,0,0,1,0,1,1,1,0
130,ANCAT130,uninformative,A,15-months,M,15.35,0,,97%,6,5,0,0,0,0,0,0,0,1,0,1,1,1,1
131,ANCAT131,uninformative,A,15-months,F,15.62,0,,40%,31,18,2,0,0,0,0,0,0,1,1,1,1,1,1
132,ANCAT132,informative,A,15-months,F,16.11,0,,63%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,ANCAT133,uninformative,A,15-months,F,14.6,0,,87%,38,24,0,0,0,1,1,0,1,1,1,1,1,1,1
134,ANCAT134,informative,A,15-months,F,15.62,1,fussed out,38%,5,1,0,0,0,0,0,0,0,1,1,1,1,1,0
135,ANCAT135,informative,A,19-months,F,21.11,1,couldn't calibrate,,35,18,2,0,0,0,0,0,1,1,0,1,1,1,1
136,ANCAT136,informative,A,15-months,M,16.14,1,trackloss,38%,10,1,0,0,0,0,0,0,0,1,0,0,1,1,1
139,ANCAT139,informative,A,19-months,F,21.86,0,,43%,47,29,8,0,0,0,0,0,0,1,1,1,1,1,0
141,ANCAT141,informative,A,15-months,F,17.69,1,fussed out,55%,32,17,2,0,0,0,0,0,0,1,1,1,0,1,0
142,ANCAT142,informative,A,15-months,F,17.42,1,fussed out,23%,6,1,0,0,0,0,0,0,0,1,1,1,1,1,1
201,ANCAT201,informative,A,19-months,M,20.46,1,could not callibrate/fussed out right before,NA,23,13,0,0,1,1,0,0,1,1,1,1,1,1,1
203,ANCAT203,informative,A,19-months,F,20.07,1,Tobii wouldn't open up live viewer,NA,,,,0,0,0,0,0,0,1,1,1,1,1,1
204,ANCAT204,informative,A,19-months,F,19.93,1,Could not callibrate,NA,27,19,1,0,0,0,0,0,1,1,0,1,0,0,0
